Inglês,Português
technology,tecnologia
catch,pegar
step,passo
baby,bebê
computer,computador
type,tipo
attention,atenção
draw,desenhar
film,filme
Republican,Republicano
tree,árvore
source,fonte
red,vermelho
nearly,quase
organization,organização
choose,escolher
cause,cause
hair,cabelo
century,século
evidence,evidência
window,janela
difficult,difícil
listen,ouvir
soon,em breve
culture,cultura
billion,bilhão
chance,chance
brother,irmão
energy,energia
period,período
summer,verão
realize,perceber
hundred,cento
available,disponível
plant,planta
likely,provável
opportunity,oportunidade
term,termo
short,curto
letter,carta
condition,condição
choice,escolha
single,único
rule,regra
daughter,filha
administration,administração
south,sul
husband,marido
Congress,Congresso
floor,chão
campaign,campanha
material,material
population,população
call,chamar
Inglês,Português
kind,tipo
ever,sempre
bad,ruim
meet,conhecer
carro,car
party,festividade
stay,ficar
major,principal
require,requerer
matter,assunto
single,solteiro
floor,andar
economy,economia
medical,médico
hospital,hospital
church,igreja
close,fechar
thousand,mil
risk,risco
current,atual
fire,fogo
future,futuro
wrong,errado
involve,envolver
defense,defesa
anyone,alguém
increase,aumentar
security,segurança
bank,banco
myself,eu mesmo
certainly,certamente
west,oeste
sport,esporte
board,quadro
seek,procurar
per,por
subject,assunto
officer,oficial
private,privado
rest,descanso
behavior,comportamento
deal,negócio
performance,desempenho
fight,lutar
throw,jogar
top,topo
quickly,rapidamente
past,passado
goal,objetivo
bed,cama
order,ordem
author,autor
fill,preencher
represent,representar
focus,concentrar
foreign,estrangeiro
drop,derrubar
blood,sangue
upon,sobre
agency,agência
push,empurrar
nature,natureza
color,cor
recently,recentemente
store,loja
reduce,reduzir
environment,meio ambiente
hold,manter
additional,adicional
growth,crescimento
apply,aplicar
establish,estabelecer
finish,terminar
defend,defender
balance,balancear
operation,operação
assist,ajudar
basic,básico
rely,confiar
structure,estrutura
gather,juntar
maintain,manter
budget,orçamento
analysis,análise
response,resposta
sign,sinal
schedule,agenda
contribution,contribuição
pressure,pressão
encourage,encorajar
manage,gerenciar
expand,expandir
check,verificar
relate,relacionar
difficulty,dificuldade
significant,significativo
view,ponto de vista
evaluate,avaliar
candidate,candidato
strategy,estratégia
formal,formal
perspective,perspectiva
processo,processo
individual,individual
influence,influenciar
neighborhood,bairro
solution,solução
become,tornar-se
measure,medir
self,auto
variety,variedade
benefit,benefício
reality,realidade
positive,positivo
complex,complexo
objective,objetivo
success,sucesso
achieve,alcançar
problem,problema
achievement,realização
answer,resposta
investment,investimento
factor,fator
consist,consistir
environment,ambiente
approach,abordagem
improve,melhorar
focus,focar
impact,impacto
succeed,ter sucesso
communication,comunicação
understanding,compreensão
statement,declaração
aspect,aspecto
requirement,requisito
help,ajudar
contribute,contribuir
form,formar
method,método
determine,determinar
propose,propor
clarify,esclarecer
progress,progresso
analyze,analisar
communicate,comunicar
complete,completo
comprehend,compreender
detail,detalhe
conclusion,conclusão
define,definir
require,requere
solve,resolver
despite,apesar
recent,recentemente
respect,respeitar
above,acima
rather,em vez disso
return,voltar
present,presente
else,outra coisa
quality,qualidade
seem,parecer
tend,tender
deal,negociar
attempt,tentar
family,família
consumer,consumidor
immediately,imediatamente
differ,diferir
matter,questão
clearly,claramente
concern,preocupação
whole,todo
claim,reivindicação
design,desenho
feature,característica
act,agir
note,nota
focus,foco
property,propriedade
success,êxito
knowledge,conhecimento
resource,recurso
purpose,propósito
stage,estágio
ability,habilidade
network,rede
unit,unidade
object,objeto
financial,financeiro
individual,indivíduo
training,treinamento
example,exemplo
production,produção
measure,medida
message,mensagem
direction,direção
option,opção
contract,contrato
discussion,discussão
partner,parceiro
effectiveness,eficácia
goal,meta
status,status
challenge,desafio
support,suporte
event,event
content,conteúdo
delivery,entrega
context,contexto
capacity,capacidade
trend,tendência
location,localização
background,fundo
interaction,interação
vision,visão
priority,prioridade
task,tarefa
opinion,opinião
reaction,reação
application,aplicação
marketing,marketing
assume,assumir
indicate,indicar
reduce,diminuir
compare,comparar
design,projetar
implement,implementar
organize,organizar
prepare,preparar
complete,completar
support,apoiar
lead,liderar
try,tentar
forget,esquecer
mean,significar
listen,escutar
touch,tocar
feel,sentir
leave,partir
arrive,chegar
travel,viajar
work,trabalhar
talk,conversar
ask,perguntar
answer,responder
call,ligar
sleep,dormir
wake,acordar
drink,beber
cook,cozinhar
clean,limpar
wash,lavar
borrow,pegar emprestado
lend,emprestar
start,começar
turn,virar
ride,andar
fly,voar
swim,nadar
jump,pular
lie,deitar
fix,consertar
destroy,destruir
paint,pintar
find,encontrar
win,vencer
abandon,abandonar
abroad,exterior
absence,ausência
absolute,absoluto
accept,aceitar
access,acesso
accident,acidente
accompany,acompanhar
according,segundo
account,conta
accurate,preciso
accuse,acusar
acknowledge,reconhecer
acquire,adquirir
active,ativo
actual,real
adapt,adaptar
addition,adição
address,endereço
adequate,adequado
adjust,ajustar
admire,admirar
admit,admitir
adopt,adotar
adult,adulto
advance,avançar
advantage,vantagem
advice,conselho
advise,aconselhar
affect,afetar
afford,proporcionar
afraid,com medo
afternoon,tarde
against,contra
agenda,agenda
agent,agente
aggressive,agressivo
agreement,acordo
ahead,à frente
aid,ajuda
aim,objetivo
aircraft,aeronave
airport,aeroporto
alarm,alarme
album,álbum
alcohol,álcool
alive,vivo
all,tudo
alone,sozinho
alter,alterar
alternative,alternativa
amazing,incrível
amount,quantidade
ancient,antigo
anger,raiva
angle,ângulo
angry,irritado
animal,animal
announce,anunciar
annual,anual
another,outro
anticipate,antecipar
anxiety,ansiedade
anybody,alguém
anymore,mais
anyway,de qualquer forma
anywhere,em qualquer lugar
apart,à parte
apartment,apartamento
apparent,aparente
appeal,apelo
appearance,aparência
apple,maçã
appoint,designar
appointment,compromisso
appreciate,apreciar
appropriate,apropriado
approve,aprovar
approximately,aproximadamente
argue,argumentar
argument,argumento
arise,surgir
armed,armado
army,exército
arrange,organizar
arrangement,arranjo
arrest,prender
arrival,chegada
article,artigo
artist,artista
artistic,artístico
ashamed,envergonhado
aside,de lado
asleep,adormecido
assault,assalto
assert,afirmar
assess,avaliar
assessment,avaliação
asset,ativo
assign,atribuir
assignment,tarefa
assistance,assistência
assistant,assistente
associate,associar
association,associação
assumption,suposição
assure,assegurar
athlete,atleta
athletic,atlético
atmosphere,atmosfera
attach,anexar
attack,ataque
attempt,tentativa
attend,comparecer
attitude,atitude
attorney,advogado
attract,atrair
attraction,atração
attractive,atraente
attribute,atributo
audience,audiência
authority,autoridade
auto,automático
average,média
avoid,evitar
award,prêmio
aware,ciente
awareness,consciência
awful,horrível
back,costas
badly,mal
bag,bolsa
bake,assar
balance,equilíbrio
ball,bola
ban,proibir
band,banda
bar,bar
barely,mal
barrel,barril
barrier,barreira
baseball,beisebol
basically,basicamente
basis,base
basket,cesta
basketball,basquete
bathroom,banheiro
battery,bateria
battle,batalha
be,ser
beach,praia
beam,feixe
bear,urso
beat,bater
beautiful,bonito
beauty,beleza
bedroom,quarto
beer,cerveja
begin,começar
beginning,início
being,ser
belief,crença
bell,sino
belong,pertencer
below,abaixo
belt,cinto
bench,banco
bend,curvar
beneath,abaixo
beside,ao lado
besides,além disso
bet,apostar
between,entre
beyond,além
bicycle,bicicleta
big,grande
bike,bicicleta
bill,conta
bind,ligar
biological,biológico
bird,pássaro
birth,nascimento
birthday,aniversário
bit,pouco
bite,morder
blade,lâmina
blame,culpar
blank,em branco
blanket,cobertor
blind,cego
block,bloco
blow,sopro
blue,azul
boat,barco
bomb,bomba
bond,vínculo
bone,osso
boom,explosão
boot,bota
border,fronteira
born,nascido
borrow,emprestar
boss,chefe
bother,incomodar
bottle,garrafa
bottom,fundo
boundary,limite
bowl,tigela
box,caixa
boyfriend,namorado
brain,cérebro
branch,ramo
brand,marca
brave,corajoso
bread,pão
breakfast,café da manhã
breast,peito
breath,respiração
breathe,respirar
brick,tijolo
bridge,ponte
brief,breve
bright,brilhante
brilliant,brilhante
broad,amplo
broken,quebrado
brown,marrom
brush,pincel
bubble,bolha
bullet,bala
bunch,monte
burden,fardo
burn,queimar
burst,explodir
bury,enterrar
bus,ônibus
busy,ocupado
butter,manteiga
button,botão
buyer,comprador
cabin,cabana
cabinet,armário
cable,cabo
cake,bolo
calculate,calcular
camera,câmera
camp,acampamento
campus,campus
can,pode
cancel,cancelar
cancer,câncer
cap,boné
capability,capacidade
capable,capaz
capital,capital
captain,capitão
capture,capturar
carbon,carbono
card,cartão
career,carreira
careful,cuidadoso
carefully,cuidadosamente
carrier,transportadora
cash,dinheiro
cast,elenco
cat,gato
category,categoria
cattle,gado
ceiling,teto
celebrate,celebrar
celebration,celebração
celebrity,celebridade
cell,célula
central,central
ceremony,cerimônia
chain,cadeia
chair,cadeira
chairman,presidente
chamber,câmara
champion,campeão
championship,campeonato
changing,mudança
channel,canal
chapter,capítulo
character,personagem
characteristic,característica
characterize,caracterizar
charge,cobrar
charity,caridade
chart,gráfico
chase,perseguir
cheap,barato
cheek,bochecha
cheese,queijo
chef,chefe
chemical,químico
chemistry,química
chest,peito
chicken,frango
chief,chefe
child,criança
childhood,infância
chip,chip
chocolate,chocolate
cholesterol,colesterol
cigarette,cigarro
